,FLEX_corr
AOL,0.023384518762397943
AAL,0.0970095056379528
AAL,-0.27254127829199054
AAL,0.10521626193484773
AAL,-0.3077719920064285
SNA,0.645865822363754
ConA,0.2576944775218953
ConA,0.6127301755565612
MAL-II,0.5930156595164048
MAL-II,0.48899039801363825
MAL-II,0.09534956520575166
MAL-II,0.4889903980136382
MAL-II,
MAL-II,0.418091470896596
MAL-II,0.5873909477984774
MAL-II,0.4889903980136381
MAL-II,0.5653014243946375
MAL-II,0.5653014243946375
MAL-II,0.5653014243946375
MAL-II,0.009755185366155899
MAL-II,0.5362205313158278
MAL-II,0.5653014243946375
MAL-II,0.5873909477984776
MAL-II,0.523824570994643
MAL-II,0.5775614781246576
MAL-II,0.523824570994643
MAL-II,0.09534956520575164
MAL-II,0.09534956520575165
MAL-II,0.523824570994643
MAL-II,0.48899039801363836
MAL-II,0.5362205313158278
MAL-II,0.5362205313158278
MAL-II,0.5362205313158278
MAL-II,
MAL-II,0.5969116071267155
MAL-II,0.09534956520575164
MAL-II,0.5969116071267156
MAL-II,0.09534956520575164
MAL-II,0.09534956520575165
MAL-II,
MAL-II,
MAL-II,
MAL-II,
MAL-II,0.5873909477984773
PNA,-0.13273318079160745
CMA,0.16253928097241116
HPA,-0.17712184886078977
HPA,0.17968700977446284
AMA,-0.18020241072522994
GNA,0.04419289386169619
HHL,8.651702616760636e-05
UDA,0.592932970077844
ABA,-0.4367815048512603
CA,1.0
CAA,0.8969903512119778
CAA,0.25455966414483855
MPA,0.583244254451374
LcH,
LTL,0.6072389447355628
PSA,-0.6562799518543138
PTL-I,
PTL-II,-0.4055585937657064
UEA-I,-0.4054732604092132
UEA-I,-0.12950994963488657
CTB,
CTB,
MAL-I,
MAL,
PSL,0.31490971528308775
GS-II,0.012626085866638366
BPL,
CSA,
DBA,
ECA,
LEA,
LEL,
PA-IL,
RCA-I,
SBA,
SJA,
STA,
STL,
VVL,
WGA,
